Time (Y-M-D-H-M-S);Time from Start (Seconds);Loop Time (Seconds);K1.0 Conductivity Reading (uS/cm);K0.1 #1 Conductivity Reading (uS/cm);K0.1 #2 Conductivity Reading (uS/cm);K0.1 #3 Conductivity Reading (uS/cm)
2025-12-15 16:28:51;2.1696090698242188e-05;0.915956974029541; 0.00; 15.01; 11.55; 2.89
2025-12-15 16:28:52;0.9186630249023438;0.9178590774536133; 0.00; 15.08; 11.59; 2.91
2025-12-15 16:28:53;1.8367621898651123;0.9150526523590088; 0.14; 15.12; 11.61; 2.91
2025-12-15 16:28:53;2.7531585693359375;0.9141378402709961; 0.00; 15.12; 11.61; 2.87
2025-12-15 16:28:54;3.6675972938537598;0.916635274887085; 0.00; 15.12; 11.64; 2.93
2025-12-15 16:28:55;4.5851359367370605;0.9150702953338623; 0.00; 15.14; 11.64; 2.98
2025-12-15 16:28:56;5.500439643859863;0.9162604808807373; 0.00; 15.10; 11.66; 2.93
2025-12-15 16:28:57;6.417510986328125;0.9148194789886475; 0.00; 15.15; 11.61; 2.91
2025-12-15 16:28:58;7.332576274871826;0.9134926795959473; 0.00; 15.14; 11.66; 2.91
2025-12-15 16:28:59;8.246677160263062;0.9136223793029785; 0.00; 15.15; 11.69; 2.91
2025-12-15 16:29:00;9.160577058792114;0.9136958122253418; 0.00; 15.11; 11.64; 2.93
2025-12-15 16:29:01;10.074595212936401;0.914038896560669; 0.00; 15.14; 11.67; 2.93
2025-12-15 16:29:02;10.9889075756073;0.9138765335083008; 0.00; 15.10; 11.64; 3.00
2025-12-15 16:29:03;11.903091669082642;0.913576602935791; 0.00; 15.08; 11.66; 2.95
2025-12-15 16:29:03;12.816940784454346;0.9134142398834229; 0.00; 15.17; 11.64; 2.93
2025-12-15 16:29:04;13.730633020401001;0.9134986400604248; 0.14; 15.17; 11.66; 2.95
2025-12-15 16:29:05;14.644410848617554;0.9135117530822754; 0.00; 15.15; 11.66; 2.98
